x,y,z,r,theta,SPL [dB]
-400.0,-500.0,-40.0,767.2027111526653,75.66133192125739,48.04323898872263
-400.0,-500.0,-14.285714285714285,761.2422714999262,77.53679176581981,51.421601428067405
-400.0,-500.0,11.42857142857143,756.1098073800699,79.43977657208217,42.15315452863213
-400.0,-500.0,37.14285714285714,751.8222760026983,81.36661386039881,50.92943501203301
-400.0,-500.0,62.85714285714286,748.3941993034289,83.31332358423995,42.30238577194707
-400.0,-500.0,88.57142857142858,745.837428256155,85.27566044118609,43.43347611249286
-400.0,-500.0,114.28571428571428,744.1609437508002,87.24916470873866,41.14303348209128
-400.0,-500.0,140.0,743.370701601832,89.22922025851902,30.985292039731014
-400.0,-500.0,165.71428571428572,743.469527805619,91.2111179658604,34.60655621812287
-400.0,-500.0,191.42857142857144,744.4570682924652,93.19012239029871,35.10916668756385
-400.0,-500.0,217.14285714285717,746.3297952415581,95.16153939010532,26.482975609591747
-400.0,-500.0,242.8571428571429,749.0810696977943,97.12078227264224,45.271801274415466
-400.0,-500.0,268.57142857142856,752.7012579194147,99.06343417836939,50.255234571837704
-400.0,-500.0,294.2857142857143,757.1778967633292,100.98530463977676,53.26403854465343
-400.0,-500.0,320.0,762.4959016283301,102.88247862242612,53.29185518540524
-400.0,-479.59183673469386,-40.0,752.7067912115757,75.37910054155788,53.50747483504822
-400.0,-479.59183673469386,-14.285714285714285,746.6306379022991,77.28884505179725,54.370447757993254
-400.0,-479.59183673469386,11.42857142857143,741.3970288262243,79.22773311411879,53.252063543864054
-400.0,-479.59183673469386,37.14285714285714,737.0239129294953,81.19190341903166,49.21029324720389
-400.0,-479.59183673469386,62.85714285714286,733.5266805556885,83.17715661193466,49.616223881535845
-400.0,-479.59183673469386,88.57142857142858,730.9179043666818,85.17900111744144,46.83108913413494
-400.0,-479.59183673469386,114.28571428571428,729.2071199186884,87.19270870015498,38.01525354400392
-400.0,-479.59183673469386,140.0,728.400654541185,89.2133782536385,31.191269646425482
-400.0,-479.59183673469386,165.71428571428572,728.5015115368923,91.23600579023632,33.18352531226922
-400.0,-479.59183673469386,191.42857142857144,729.5093145852484,93.25555819657656,41.735398444517585
-400.0,-479.59183673469386,217.14285714285717,731.4203147310942,95.26704806527617,43.61894489969413
-400.0,-479.59183673469386,242.8571428571429,734.2274596578492,97.2656068397921,50.37051350622356
-400.0,-479.59183673469386,268.57142857142856,737.9205222850874,99.2465536245121,44.829931988730614
-400.0,-479.59183673469386,294.2857142857143,742.4862832961734,101.20545730356834,44.49391211537913
-400.0,-479.59183673469386,320.0,747.9087601679945,103.1381900484726,54.28016032420296
-400.0,-459.18367346938777,-40.0,738.49036102564,75.09117569098068,16.51865243300824
-400.0,-459.18367346938777,-14.285714285714285,732.2962578397813,77.0357387386635,54.78827874919007
-400.0,-459.18367346938777,11.42857142857143,726.9594583909798,79.01115823403607,53.18462913526241
-400.0,-459.18367346938777,37.14285714285714,722.4989605678735,81.0133758318901,52.08148201391741
-400.0,-459.18367346938777,62.85714285714286,718.9310751934433,83.03796167518472,41.8952165406207
-400.0,-459.18367346938777,88.57142857142858,716.2691412559494,85.08016397596522,31.427744073076926
-400.0,-459.18367346938777,114.28571428571428,714.5232841075662,87.13496971544089,42.25193492151628
-400.0,-459.18367346938777,140.0,713.7002265151526,89.19717477612774,24.03151068827261
-400.0,-459.18367346938777,165.71428571428572,713.8031606145285,91.26146120176341,33.794860172538435
-400.0,-459.18367346938777,191.42857142857144,714.8316863838594,93.32247879359689,38.062941203206755
-400.0,-459.18367346938777,217.14285714285717,716.7818193795698,95.3749279470262,43.056673865659725
-400.0,-459.18367346938777,242.8571428571429,719.6460673882489,97.41364054430312,46.92325689893742
-400.0,-459.18367346938777,268.57142857142856,723.4135725857302,99.43365585712061,35.261297895076304
-400.0,-459.18367346938777,294.2857142857143,728.0703130019235,101.4302887617664,42.36563542624418
-400.0,-459.18367346938777,320.0,733.5993547760114,103.39918809057284,55.01630057990346
-400.0,-438.7755102040816,-40.0,724.5698719759608,74.79790059769432,53.8756708606539
-400.0,-438.7755102040816,-14.285714285714285,718.2557311248046,76.77776224234105,43.94891091337013
-400.0,-438.7755102040816,11.42857142857143,712.8138187434267,78.79029000181771,51.06323467505519
-400.0,-438.7755102040816,37.14285714285714,708.2642402868705,80.83122044116499,48.03452957746324
-400.0,-438.7755102040816,62.85714285714286,704.6242806817551,82.8958819308918,48.12059295349453
-400.0,-438.7755102040816,88.57142857142858,701.9080913930366,84.97924822939102,38.71377290555927
-400.0,-438.7755102040816,114.28571428571428,700.1264239973677,87.0760047595655,42.631674838250404
-400.0,-438.7755102040816,140.0,699.2864215579052,89.18062569582634,22.694073366505062
-400.0,-438.7755102040816,165.71428571428572,699.3914770361235,91.28745924400651,33.73977483171848
-400.0,-438.7755102040816,191.42857142857144,700.4411651993853,93.3908179149996,37.72717031667602
-400.0,-438.7755102040816,217.14285714285717,702.4312511844604,95.48507022802575,38.97220980404945
-400.0,-438.7755102040816,242.8571428571429,705.3537753176431,97.56473017356278,50.44245733900469
-400.0,-438.7755102040816,268.57142857142856,709.1972102657552,99.62454093160437,50.13695662353091
-400.0,-438.7755102040816,294.2857142857143,713.9466833890323,101.65954975858587,54.294185845006936
-400.0,-438.7755102040816,320.0,719.5842545353951,103.66517157802961,46.75002731489491
-400.0,-418.36734693877554,-40.0,710.9627076566445,74.49970891895073,42.84193502859636
-400.0,-418.36734693877554,-14.285714285714285,704.5266266060032,76.51528487612423,46.36423227879128
-400.0,-418.36734693877554,11.42857142857143,698.9778340511192,78.56543510679818,53.770930373626044
-400.0,-418.36734693877554,37.14285714285714,694.3376025913799,80.64568329977715,52.83315825812895
-400.0,-418.36734693877554,62.85714285714286,690.6242460480864,82.75110482762716,44.15145396500469
-400.0,-418.36734693877554,88.57142857142858,687.8527757203735,84.8763845730825,47.47943059452282
-400.0,-418.36734693877554,114.28571428571428,686.0346069132002,87.0158892397682,37.434092366352886
-400.0,-418.36734693877554,140.0,685.1773286372421,89.16375204810433,32.41838361754456
-400.0,-418.36734693877554,165.71428571428572,685.2845470707606,91.31396684579741,34.835477718278945
-400.0,-418.36734693877554,191.42857142857144,686.3558102100394,93.46048796787005,43.8385867571688
-400.0,-418.36734693877554,217.14285714285717,688.386617347965,95.59733174420005,48.68057046521013
-400.0,-418.36734693877554,242.8571428571429,691.3685129206125,97.71867542558158,-22.593731280145917
-400.0,-418.36734693877554,268.57142857142856,695.2892602017787,99.81894949790967,23.804140477671215
-400.0,-418.36734693877554,294.2857142857143,700.1330866523922,101.89291985399159,54.19032005139411
-400.0,-418.36734693877554,320.0,705.8809897415197,103.93575703397137,50.56171095699358
-400.0,-397.9591836734694,-40.0,697.6872008553698,74.19713602417119,55.644179237525705
-400.0,-397.9591836734694,-14.285714285714285,691.1275035445836,76.2487661328121,55.10077920759302
-400.0,-397.9591836734694,11.42857142857143,685.4702554113691,78.33697793035476,27.064406308711327
-400.0,-397.9591836734694,37.14285714285714,680.7379561411856,80.45707484309116,50.483422365604625
-400.0,-397.9591836734694,62.85714285714286,676.950003906065,82.60386820922594,31.692895540477206
-400.0,-397.9591836734694,88.57142857142858,674.1223179996017,84.77173958444723,47.603835751820185
-400.0,-397.9591836734694,114.28571428571428,672.2670157322035,86.95471956079408,39.34648626029026
-400.0,-397.9591836734694,140.0,671.3921583079454,89.14658076552317,32.80998535221852
-400.0,-397.9591836734694,165.71428571428572,671.5015778186313,91.3409416724662,36.00293224837442
-400.0,-397.9591836734694,191.42857142857144,672.5947938900608,93.5313770299886,43.8477009228765
-400.0,-397.9591836734694,217.14285714285717,674.6670241702252,95.71153018670942,49.11831758658575
-400.0,-397.9591836734694,242.8571428571429,677.7092881294994,97.87522244397638,44.565577135864054
-400.0,-397.9591836734694,268.57142857142856,681.7085989709024,100.01655480206378,50.7955647218678
-400.0,-397.9591836734694,294.2857142857143,686.6482342395849,102.12999806497123,51.302675100169814
-400.0,-397.9591836734694,320.0,692.5080723265261,104.21046815232408,53.55891210662925
-400.0,-377.55102040816325,-40.0,684.7626413963175,73.89083066950735,46.75910524324028
-400.0,-377.55102040816325,-14.285714285714285,678.0779239662864,75.97876638414569,54.588375971026906
-400.0,-377.55102040816325,11.42857142857143,672.3108773985351,78.1053900336378,46.947467790816184
-400.0,-377.55102040816325,37.14285714285714,667.4852880370767,80.26577794516763,53.525367932623304
-400.0,-377.55102040816325,62.85714285714286,663.6216938912426,82.45446674597048,51.17786158911283
-400.0,-377.55102040816325,88.57142857142858,660.7369706924358,84.66552037013136,44.7421772567595
-400.0,-377.55102040816325,114.28571428571428,658.8439764133412,86.89261587094414,42.78246019925195
-400.0,-377.55102040816325,140.0,657.9512710315724,89.12914545262699,19.361907100635907
-400.0,-377.55102040816325,165.71428571428572,658.062925431582,91.36833090947444,28.841763587844458
-400.0,-377.55102040816325,191.42857142857144,659.1784292455828,93.60334567352344,40.875059673083946
-400.0,-377.55102040816325,217.14285714285717,661.2927024528304,95.82743904662112,33.935614085696585
-400.0,-377.55102040816325,242.8571428571429,664.3962101274009,98.03405701058392,48.44897732797268
-400.0,-377.55102040816325,268.57142857142856,668.4751743524445,100.21695429402389,31.438280241144703
-400.0,-377.55102040816325,294.2857142857143,673.5118725004039,102.37029308880187,53.38297223738025
-400.0,-377.55102040816325,320.0,679.4850072312572,104.48872486083145,50.379516545426746
-400.0,-357.1428571428571,-40.0,672.2092725650614,73.58156678156014,54.99932890739252
-400.0,-357.1428571428571,-14.285714285714285,665.3984535906409,75.70595775221726,55.095622558975954
-400.0,-357.1428571428571,11.42857142857143,659.5205432272564,77.87123985337891,54.325413127907254
-400.0,-357.1428571428571,37.14285714285714,654.6006727893935,80.07225619156122,49.00107122306579
-400.0,-357.1428571428571,62.85714285714286,650.660574857175,82.30325856432765,47.836955624230775
-400.0,-357.1428571428571,88.57142857142858,647.7181296754045,84.55797937064445,47.70262235065745
-400.0,-357.1428571428571,114.28571428571428,645.7869744168975,86.82972490658959,43.79273379987111
-400.0,-357.1428571428571,140.0,644.8761944144387,89.11148718924115,15.422424261363545
-400.0,-357.1428571428571,165.71428571428572,644.9901122482105,91.39607000143695,30.844146904242805
-400.0,-357.1428571428571,191.42857142857144,646.1281859298983,93.6762236759447,38.156834224298045
-400.0,-357.1428571428571,217.14285714285717,648.2850217209674,95.94478239125685,44.84355110377436
-400.0,-357.1428571428571,242.8571428571429,651.4505008840202,98.19479753337323,23.08860686256457
-400.0,-357.1428571428571,268.57142857142856,655.610013495766,100.41966101849972,53.553291799660855
-400.0,-357.1428571428571,294.2857142857143,660.7447869407581,102.61321332387435,51.84900939126849
-400.0,-357.1428571428571,320.0,666.8322923512695,104.76983222382542,56.50107894272516
-400.0,-336.734693877551,-40.0,660.048273574413,73.27025496782348,50.921347088498536
-400.0,-336.734693877551,-14.285714285714285,653.1106486399763,75.4311348156387,56.52397927594887
-400.0,-336.734693877551,11.42857142857143,647.1211356963158,77.63520231731178,55.17945588096414
-400.0,-336.734693877551,37.14285714285714,642.1062670169484,79.87706213148942,52.02111427502466
-400.0,-336.734693877551,62.85714285714286,638.0890227856796,82.1506718910218,51.915101724897006
-400.0,-336.734693877551,88.57142857142858,635.0883346718929,84.44941919212387,20.548271947451127
-400.0,-336.734693877551,114.28571428571428,633.1186568508662,86.76622285927657,-6.99248127072111
-400.0,-336.734693877551,140.0,632.1896261791735,89.09365534102031,33.64912783631156
-400.0,-336.734693877551,165.71428571428572,632.305829661623,91.42408137993438,35.08356037728988
-400.0,-336.734693877551,191.42857142857144,633.4666920834712,93.74980670615122,46.08329815340699
-400.0,-336.734693877551,217.14285714285717,635.6664901612081,96.06322961454542,41.394475846187966
-400.0,-336.734693877551,242.8571428571429,638.8944924071227,98.3569880257485,47.77449150389721
-400.0,-336.734693877551,268.57142857142856,643.1352168261606,100.62409503749545,53.077835524916125
-400.0,-336.734693877551,294.2857142857143,648.3687922745063,102.85805698762725,54.31064220948326
-400.0,-336.734693877551,320.0,654.5714043926477,105.05296953234891,53.43037688877291
-400.0,-316.32653061224494,-40.0,648.3017253026588,72.95795325733232,53.46114014299515
-400.0,-316.32653061224494,-14.285714285714285,641.2370255597936,75.1552247074991,56.55390656361607
-400.0,-316.32653061224494,11.42857142857143,635.1355507659216,77.39806799607972,44.87573163447746
-400.0,-316.32653061224494,37.14285714285714,630.0252865752942,79.68084519122266,52.48025070904026
-400.0,-316.32653061224494,62.85714285714286,625.9305109845857,81.9972114622238,28.621227475719692
-400.0,-316.32653061224494,88.57142857142858,622.8712518796794,84.34019728779371,48.879039826183615
-400.0,-316.32653061224494,114.28571428571428,620.8628167594559,86.7023181616141,43.25380338454921
-400.0,-316.32653061224494,140.0,619.9154192552433,89.07570834809788,29.234702958698087
-400.0,-316.32653061224494,165.71428571428572,620.0339231089814,91.45227322590472,7.958741376253404
-400.0,-316.32653061224494,191.42857142857144,621.2177183250783,93.8238531060969,41.88446579009785
-400.0,-316.32653061224494,217.14285714285717,623.460736771539,96.18239035496971,47.83427335691375
-400.0,-316.32653061224494,242.8571428571429,626.7516063082694,98.52009134206293,51.015960703952324
-400.0,-316.32653061224494,268.57142857142856,631.0739344196315,100.82957521754155,47.18936720100052
-400.0,-316.32653061224494,294.2857142857143,636.4067051637206,103.10400272850026,34.73296454183714
-400.0,-316.32653061224494,320.0,642.7247677119686,105.33718003708415,55.86012459907735
-400.0,-295.9183673469388,-40.0,636.9925563677897,72.64587645050725,46.55314495711896
-400.0,-295.9183673469388,-14.285714285714285,629.8010104678613,74.87929604546233,44.524304200024304
-400.0,-295.9183673469388,11.42857142857143,623.5876503622392,77.16075130304233,56.02285752905547
-400.0,-295.9183673469388,37.14285714285714,618.3819625133395,79.48435883957558,54.77147360813356
-400.0,-295.9183673469388,62.85714285714286,614.209568810998,81.84346437510753,44.33221597111006
-400.0,-295.9183673469388,88.57142857142858,611.0916349089773,84.23073025805162,49.22898181480757
-400.0,-295.9183673469388,114.28571428571428,609.0443555867284,86.63825405626497,42.17091589304243
-400.0,-295.9183673469388,140.0,608.0785449824485,89.0577144536713,32.239850897395065
-400.0,-295.9183673469388,165.71428571428572,608.1993551817379,91.48053832655447,26.636374115437533
-400.0,-295.9183673469388,191.42857142857144,609.4061399416516,93.89808092503289,43.7595306001064
-400.0,-295.9183673469388,217.14285714285717,611.6924718625183,96.30180983292402,48.61046091027479
-400.0,-295.9183673469388,242.8571428571429,615.0463119534687,98.68348301180144,52.9139520285234
-400.0,-295.9183673469388,268.57142857142856,619.4503212860908,101.03531180904851,47.0638115048801
-400.0,-295.9183673469388,294.2857142857143,624.8822962885974,103.35010123706196,56.15966656419544
-400.0,-295.9183673469388,320.0,631.3157030107612,105.62136189824982,54.62967531002516
-400.0,-275.51020408163265,-40.0,626.1444665261093,72.33540332875705,57.194935199779515
-400.0,-275.51020408163265,-14.285714285714285,618.8268650273948,74.60456601238938,51.921085133608365
-400.0,-275.51020408163265,11.42857142857143,612.5021908349329,76.92429714187975,56.436134710338806
-400.0,-275.51020408163265,37.14285714285714,607.2014720462588,79.2884664992447,54.74335850493611
-400.0,-275.51020408163265,62.85714285714286,602.951714909483,81.69010497989548,43.09951510310554
-400.0,-275.51020408163265,88.57142857142858,599.7752598674117,84.12149748007047,36.22897272693758
-400.0,-275.51020408163265,114.28571428571428,597.6892195492134,86.57431077771926,38.81060666271469
-400.0,-275.51020408163265,140.0,596.7050301122541,89.03975232453813,34.239516503542056
-400.0,-275.51020408163265,165.71428571428572,596.8281425475648,91.50875310213588,38.696421344998306
-400.0,-275.51020408163265,191.42857142857144,598.0578730289221,93.97216540347874,46.953734569635934
-400.0,-275.51020408163265,217.14285714285717,600.3874217757833,96.42096492226077,21.10579868471119
-400.0,-275.51020408163265,242.8571428571429,603.8040592285364,98.84644609831012,50.05556324713321
-400.0,-275.51020408163265,268.57142857142856,608.2894677986259,101.24040034587117,42.405206023159955
-400.0,-275.51020408163265,294.2857142857143,613.8202182302281,103.59526847564953,56.674850428465795
-400.0,-275.51020408163265,320.0,620.3683526432228,105.90426105037453,57.57624838690626
-400.0,-255.10204081632654,-40.0,615.7818244397015,72.02808085206456,58.334308138146596
-400.0,-255.10204081632654,-14.285714285714285,608.3395854526111,74.3324047876254,50.99447854151097
-400.0,-255.10204081632654,11.42857142857143,601.9047234626207,76.68988529214259,55.32479829612895
-400.0,-255.10204081632654,37.14285714285714,596.509840659955,79.09414560094017,42.624656605930404
-400.0,-255.10204081632654,62.85714285714286,592.1833608446861,81.53789833086901,53.408120309250116
-400.0,-255.10204081632654,88.57142857142858,588.9488302883727,84.01304371893909,50.69495681337358
-400.0,-255.10204081632654,114.28571428571428,586.824305490467,86.51080714123316,44.082731438063874
-400.0,-255.10204081632654,140.0,585.8218631207676,89.02191150556985,33.01363553653337
-400.0,-255.10204081632654,165.71428571428572,585.947262205224,91.53677689366702,27.131195920110706
-400.0,-255.10204081632654,191.42857142857144,587.1997801778366,94.04573714475892,41.80103110013644
-400.0,-255.10204081632654,217.14285714285717,589.5722335520844,96.53926133456069,51.38585231781658
-400.0,-255.10204081632654,242.8571428571429,593.0511818467941,99.00816759174577,50.55586259992949
-400.0,-255.10204081632654,268.57142857142856,597.6173014427852,101.44381749322588,52.9370118392476
-400.0,-255.10204081632654,294.2857142857143,603.2459056282322,103.83828125788294,56.22168476155822
-400.0,-255.10204081632654,320.0,609.9075793186106,106.18446679938221,57.793391432804874
-400.0,-234.69387755102042,-40.0,605.9295370874697,71.72562437065405,58.50448669010337
-400.0,-234.69387755102042,-14.285714285714285,598.3647715511022,74.06433642750714,48.40592138135845
-400.0,-234.69387755102042,11.42857142857143,591.8214635608967,76.45883172635851,47.30587779433292
-400.0,-234.69387755102042,37.14285714285714,586.333811585954,78.90248909047733,55.63130374149316
-400.0,-234.69387755102042,62.85714285714286,581.9316810984394,81.38770164234873,50.03490886716979
-400.0,-234.69387755102042,88.57142857142858,578.6398476624216,83.90598031822475,48.164953016160624
-400.0,-234.69387755102042,114.28571428571428,576.4773318345805,86.44810130061963,46.41830951701771
-400.0,-234.69387755102042,140.0,575.4568653817898,89.00429264079071,26.27641556223452
-400.0,-234.69387755102042,165.71428571428572,575.5845226294272,91.56445161728412,29.771398533254164
-400.0,-234.69387755102042,191.42857142857144,576.8595413492332,94.11838124961312,31.3855483765024
-400.0,-234.69387755102042,217.14285714285717,579.2743453497155,96.65603235318144,49.60575923897569
-400.0,-234.69387755102042,242.8571428571429,582.8147672242247,99.16773692194234,47.74274505696457
-400.0,-234.69387755102042,268.57142857142856,587.4604561913123,101.64441956145717,53.17821955618641
-400.0,-234.69387755102042,294.2857142857143,593.1854442431761,104.07777600748099,30.132937329301697
-400.0,-234.69387755102042,320.0,599.9588351837444,106.46041107150364,57.06930377065187
-400.0,-214.28571428571428,-40.0,596.6128885429061,71.42991281321541,55.42984103272463
-400.0,-214.28571428571428,-14.285714285714285,588.9284631378225,73.80203522576447,58.13997383591497
-400.0,-214.28571428571428,11.42857142857143,582.2791251554847,76.23258598429449,56.054900040727354
-400.0,-214.28571428571428,37.14285714285714,576.7006792690536,78.71470363537033,51.89139821939656
-400.0,-214.28571428571428,62.85714285714286,572.224445761041,81.24046314092762,36.723795052798444
-400.0,-214.28571428571428,88.57142857142858,568.8764436705612,83.80098452609698,45.456813097309656
-400.0,-214.28571428571428,114.28571428571428,566.6766705799629,86.38659041103665,46.76173630609909
-400.0,-214.28571428571428,140.0,565.6385230653144,88.98700738640433,26.682613350160594
-400.0,-214.28571428571428,165.71428571428572,565.768395680618,91.59160190239095,30.24635127531016
-400.0,-214.28571428571428,191.42857142857144,567.0654859062773,94.18963771875363,36.81809314424668
-400.0,-214.28571428571428,217.14285714285717,569.5218187574699,96.77053959908167,46.815318498637595
-400.0,-214.28571428571428,242.8571428571429,573.1224893119289,99.32414723396552,53.50715418896157
-400.0,-214.28571428571428,268.57142857142856,577.846106198683,101.84094446814667,56.15570312241503
-400.0,-214.28571428571428,294.2857142857143,583.6654059668509,104.31225159417139,57.34137717527776
-400.0,-214.28571428571428,320.0,590.5479987058717,106.73037230080253,41.58236897656353
-400.0,-193.8775510204082,-40.0,587.8573465490687,71.14297781089957,52.88737309401016
-400.0,-193.8775510204082,-14.285714285714285,580.0569418687093,73.54731657099802,46.11580174600345
-400.0,-193.8775510204082,11.42857142857143,573.3047188956657,76.01272370935062,57.01848228531865
-400.0,-193.8775510204082,37.14285714285714,567.638084157141,78.53210375339069,40.30125922344147
-400.0,-193.8775510204082,62.85714285714286,563.0898129452638,81.09721768158731,18.36916673753289
-400.0,-193.8775510204082,88.57142857142858,559.6871709084164,83.69879649356625,47.420504245729724
-400.0,-193.8775510204082,114.28571428571428,557.4511369580239,86.32670892034744,46.63352604261901
-400.0,-193.8775510204082,140.0,556.3957763064991,88.9701779374285,32.89641220591585
-400.0,-193.8775510204082,165.71428571428572,556.5278058347327,91.61803583652437,17.65521144824057
-400.0,-193.8775510204082,191.42857142857144,557.8463824587591,94.25900344257605,16.019671670412055
-400.0,-193.8775510204082,217.14285714285717,560.3431298383322,96.88197633119391,48.05015676650821
-400.0,-193.8775510204082,242.8571428571429,564.0024014765395,99.47630009320503,54.42973516982258
-400.0,-193.8775510204082,268.57142857142856,568.8017612184242,102.03201795470275,54.35650568447821
-400.0,-193.8775510204082,294.2857142857143,574.7126475367064,104.54007716382779,54.7786914441052
-400.0,-193.8775510204082,320.0,581.7011774886757,106.99248495356245,58.40594978818004
